STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
MHP,D,32,TEMP MN,20120323 0000,20120323 0000,25, ,DEG F
MHP,D,32,TEMP MN,20120324 0000,20120324 0000,24, ,DEG F
MHP,D,32,TEMP MN,20120325 0000,20120325 0000,18, ,DEG F
MHP,D,32,TEMP MN,20120326 0000,20120326 0000,16, ,DEG F
MHP,D,32,TEMP MN,20120327 0000,20120327 0000,17, ,DEG F
MHP,D,32,TEMP MN,20120328 0000,20120328 0000,22, ,DEG F
MHP,D,32,TEMP MN,20120329 0000,20120329 0000,22, ,DEG F
MHP,D,32,TEMP MN,20120330 0000,20120330 0000,30, ,DEG F
MHP,D,32,TEMP MN,20120331 0000,20120331 0000,13, ,DEG F
MHP,D,32,TEMP MN,20120401 0000,20120401 0000,11, ,DEG F
MHP,D,32,TEMP MN,20120402 0000,20120402 0000,14, ,DEG F
MHP,D,32,TEMP MN,20120403 0000,20120403 0000,30, ,DEG F
MHP,D,32,TEMP MN,20120404 0000,20120404 0000,21, ,DEG F
MHP,D,32,TEMP MN,20120405 0000,20120405 0000,9, ,DEG F
MHP,D,32,TEMP MN,20120406 0000,20120406 0000,4, ,DEG F
MHP,D,32,TEMP MN,20120407 0000,20120407 0000,22, ,DEG F
MHP,D,32,TEMP MN,20120408 0000,20120408 0000,25, ,DEG F
MHP,D,32,TEMP MN,20120409 0000,20120409 0000,28, ,DEG F
MHP,D,32,TEMP MN,20120410 0000,20120410 0000,26, ,DEG F
MHP,D,32,TEMP MN,20120411 0000,20120411 0000,18, ,DEG F
MHP,D,32,TEMP MN,20120412 0000,20120412 0000,15, ,DEG F
MHP,D,32,TEMP MN,20120413 0000,20120413 0000,15, ,DEG F
MHP,D,32,TEMP MN,20120414 0000,20120414 0000,14, ,DEG F
MHP,D,32,TEMP MN,20120415 0000,20120415 0000,20, ,DEG F
MHP,D,32,TEMP MN,20120416 0000,20120416 0000,25, ,DEG F
MHP,D,32,TEMP MN,20120417 0000,20120417 0000,26, ,DEG F
MHP,D,32,TEMP MN,20120418 0000,20120418 0000,29, ,DEG F
MHP,D,32,TEMP MN,20120419 0000,20120419 0000,32, ,DEG F
MHP,D,32,TEMP MN,20120420 0000,20120420 0000,35, ,DEG F
MHP,D,32,TEMP MN,20120421 0000,20120421 0000,38, ,DEG F
MHP,D,32,TEMP MN,20120422 0000,20120422 0000,39, ,DEG F
MHP,D,32,TEMP MN,20120423 0000,20120423 0000,37, ,DEG F
MHP,D,32,TEMP MN,20120424 0000,20120424 0000,33, ,DEG F
MHP,D,32,TEMP MN,20120425 0000,20120425 0000,34, ,DEG F
MHP,D,32,TEMP MN,20120426 0000,20120426 0000,26, ,DEG F
MHP,D,32,TEMP MN,20120427 0000,20120427 0000,20, ,DEG F
MHP,D,32,TEMP MN,20120428 0000,20120428 0000,28, ,DEG F
MHP,D,32,TEMP MN,20120429 0000,20120429 0000,30, ,DEG F
MHP,D,32,TEMP MN,20120430 0000,20120430 0000,32, ,DEG F
MHP,D,32,TEMP MN,20120501 0000,20120501 0000,31, ,DEG F
MHP,D,32,TEMP MN,20120502 0000,20120502 0000,30, ,DEG F
MHP,D,32,TEMP MN,20120503 0000,20120503 0000,29, ,DEG F
MHP,D,32,TEMP MN,20120504 0000,20120504 0000,25, ,DEG F
MHP,D,32,TEMP MN,20120505 0000,20120505 0000,20, ,DEG F
MHP,D,32,TEMP MN,20120506 0000,20120506 0000,26, ,DEG F
MHP,D,32,TEMP MN,20120507 0000,20120507 0000,28, ,DEG F
MHP,D,32,TEMP MN,20120508 0000,20120508 0000,31, ,DEG F
