STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
CAP,D,3,SNOW WC,20120318 0000,20120318 0500,10.08, ,INCHES
CAP,D,3,SNOW WC,20120319 0000,20120319 0500,10.44, ,INCHES
CAP,D,3,SNOW WC,20120320 0000,20120320 0500,10.68, ,INCHES
CAP,D,3,SNOW WC,20120321 0000,20120321 0500,10.92, ,INCHES
CAP,D,3,SNOW WC,20120322 0000,20120322 0500,11.04, ,INCHES
CAP,D,3,SNOW WC,20120323 0000,20120323 0500,10.92, ,INCHES
CAP,D,3,SNOW WC,20120324 0000,20120324 0500,10.92, ,INCHES
CAP,D,3,SNOW WC,20120325 0000,20120325 0500,10.92, ,INCHES
CAP,D,3,SNOW WC,20120326 0000,20120326 0500,10.92, ,INCHES
CAP,D,3,SNOW WC,20120327 0000,20120327 0500,11.04, ,INCHES
CAP,D,3,SNOW WC,20120328 0000,20120328 0500,11.52, ,INCHES
CAP,D,3,SNOW WC,20120329 0000,20120329 0500,12.00, ,INCHES
CAP,D,3,SNOW WC,20120330 0000,20120330 0500,12.24, ,INCHES
CAP,D,3,SNOW WC,20120331 0000,20120331 0500,12.36, ,INCHES
CAP,D,3,SNOW WC,20120401 0000,20120401 0500,12.60, ,INCHES
CAP,D,3,SNOW WC,20120402 0000,20120402 0500,12.84, ,INCHES
CAP,D,3,SNOW WC,20120403 0000,20120403 0500,13.08, ,INCHES
CAP,D,3,SNOW WC,20120404 0000,20120404 0500,13.20, ,INCHES
CAP,D,3,SNOW WC,20120405 0000,20120405 0500,12.96, ,INCHES
CAP,D,3,SNOW WC,20120406 0000,20120406 0500,12.84, ,INCHES
CAP,D,3,SNOW WC,20120407 0000,20120407 0500,13.08, ,INCHES
CAP,D,3,SNOW WC,20120408 0000,20120408 0500,13.08, ,INCHES
CAP,D,3,SNOW WC,20120409 0000,20120409 0500,13.20, ,INCHES
CAP,D,3,SNOW WC,20120410 0000,20120410 0500,13.20, ,INCHES
CAP,D,3,SNOW WC,20120411 0000,20120411 0500,12.84, ,INCHES
CAP,D,3,SNOW WC,20120412 0000,20120412 0500,12.96, ,INCHES
CAP,D,3,SNOW WC,20120413 0000,20120413 0500,13.56, ,INCHES
CAP,D,3,SNOW WC,20120414 0000,20120414 0500,14.28, ,INCHES
CAP,D,3,SNOW WC,20120415 0000,20120415 0500,14.40, ,INCHES
